counter,red_count,blue_count,total_count,average_radiation_level,total_radiation_level
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,1.0,1
112,0,0,0,2.0,2
113,0,0,0,3.0,3
114,0,0,0,4.0,4
115,0,0,0,5.0,5
116,0,0,0,6.0,6
117,0,0,0,7.0,7
118,0,0,0,8.0,8
119,0,0,0,9.0,9
120,0,0,0,10.0,10
121,0,0,0,11.0,11
122,0,0,0,12.0,12
123,0,0,0,13.0,13
124,0,0,0,14.0,14
125,0,0,0,15.0,15
126,0,0,0,16.0,16
127,0,0,0,17.0,17
128,0,0,0,18.0,18
129,0,0,0,19.0,19
130,0,0,0,20.0,20
131,0,0,0,21.0,21
132,0,0,0,22.0,22
133,0,0,0,23.0,23
134,0,0,0,24.0,24
135,0,0,0,25.0,25
136,0,0,0,26.0,26
137,0,0,0,27.0,27
138,0,0,0,28.0,28
139,0,0,0,29.0,29
140,0,0,0,30.0,30
141,0,0,0,31.0,31
142,0,0,0,32.0,32
143,0,0,0,33.0,33
144,0,0,0,34.0,34
145,0,0,0,35.0,35
146,0,0,0,36.0,36
147,0,0,0,37.0,37
148,0,0,0,38.0,38
149,0,0,0,39.0,39
150,0,0,0,40.0,40
151,0,0,0,41.0,41
152,0,0,0,42.0,42
153,0,0,0,43.0,43
154,0,0,0,44.0,44
155,0,0,0,45.0,45
156,0,0,0,46.0,46
157,0,0,0,47.0,47
158,0,0,0,48.0,48
159,0,0,0,49.0,49
160,0,0,0,50.0,50
161,0,0,0,51.0,51
162,0,0,0,52.0,52
163,0,0,0,53.0,53
164,0,0,0,54.0,54
165,0,0,0,55.0,55
166,0,0,0,56.0,56
167,0,0,0,57.0,57
168,0,0,0,58.0,58
169,0,0,0,59.0,59
170,0,0,0,60.0,60
171,0,0,0,61.0,61
172,0,0,0,62.0,62
173,0,0,0,63.0,63
174,0,0,0,64.0,64
175,0,0,0,65.0,65
176,0,0,0,66.0,66
177,0,0,0,67.0,67
178,0,0,0,68.0,68
179,0,0,0,69.0,69
180,0,0,0,70.0,70
181,0,0,0,71.0,71
182,0,0,0,72.0,72
183,0,0,0,73.0,73
184,0,0,0,74.0,74
185,0,0,0,75.0,75
186,0,0,0,76.0,76
187,0,0,0,77.0,77
188,0,0,0,78.0,78
189,0,0,0,79.0,79
190,0,0,0,80.0,80
191,0,0,0,81.0,81
192,0,0,0,82.0,82
193,0,0,0,83.0,83
194,0,0,0,84.0,84
195,1,0,1,85.0,85
196,1,0,1,85.0,85
197,1,0,1,85.0,85
198,1,0,1,85.0,85
199,1,0,1,85.0,85
200,1,0,1,85.0,85
201,1,0,1,85.0,85
202,1,0,1,85.0,85
203,1,0,1,85.0,85
204,1,0,1,85.0,85
205,1,0,1,85.0,85
206,1,0,1,85.0,85
207,1,0,1,85.0,85
208,1,0,1,85.0,85
209,1,0,1,85.0,85
210,1,0,1,85.0,85
211,1,0,1,85.0,85
212,1,0,1,85.0,85
213,1,0,1,85.0,85
214,1,0,1,85.0,85
215,1,0,1,85.0,85
216,1,0,1,85.0,85
217,1,0,1,85.0,85
218,1,0,1,85.0,85
219,1,0,1,85.0,85
220,1,0,1,85.0,85
221,1,0,1,85.0,85
222,1,0,1,85.0,85
223,1,0,1,85.0,85
224,1,0,1,85.0,85
225,1,0,1,85.0,85
226,1,0,1,85.0,85
227,1,0,1,85.0,85
228,1,0,1,85.0,85
229,1,0,1,85.0,85
230,1,0,1,85.0,85
231,1,0,1,85.0,85
232,1,0,1,85.0,85
233,1,0,1,85.0,85
234,1,0,1,85.0,85
235,1,0,1,85.0,85
236,1,0,1,85.0,85
237,1,0,1,85.0,85
238,1,0,1,85.0,85
239,1,0,1,85.0,85
240,1,0,1,85.0,85
241,1,0,1,85.0,85
242,1,0,1,85.0,85
243,1,0,1,85.0,85
244,1,0,1,85.0,85
245,1,0,1,85.0,85
246,1,0,1,0.0,0
247,1,0,1,0.0,0
248,1,0,1,0.0,0
249,1,0,1,0.0,0
250,1,0,1,0.0,0
251,1,0,1,0.0,0
252,1,0,1,0.0,0
253,1,0,1,0.0,0
254,1,0,1,0.0,0
255,1,0,1,0.0,0
256,1,0,1,0.0,0
257,1,0,1,0.0,0
258,1,0,1,0.0,0
259,1,0,1,0.0,0
260,1,0,1,0.0,0
261,1,0,1,0.0,0
262,1,0,1,0.0,0
263,1,0,1,0.0,0
264,1,0,1,0.0,0
265,1,0,1,0.0,0
266,1,0,1,0.0,0
267,1,0,1,0.0,0
268,1,0,1,0.0,0
269,1,0,1,0.0,0
270,1,0,1,0.0,0
271,1,0,1,0.0,0
272,1,0,1,0.0,0
273,1,0,1,0.0,0
274,1,0,1,0.0,0
275,1,0,1,0.0,0
276,1,0,1,0.0,0
277,1,0,1,0.0,0
278,1,0,1,0.0,0
279,1,0,1,0.0,0
280,1,0,1,0.0,0
281,1,0,1,0.0,0
282,1,0,1,0.0,0
283,1,0,1,0.0,0
284,1,0,1,0.0,0
285,1,0,1,0.0,0
286,1,0,1,0.0,0
287,1,0,1,0.0,0
288,1,0,1,0.0,0
289,1,0,1,0.0,0
290,1,0,1,0.0,0
291,1,0,1,0.0,0
292,1,0,1,0.0,0
293,1,0,1,0.0,0
294,1,0,1,0.0,0
295,1,0,1,0.0,0
296,1,0,1,0.0,0
297,1,0,1,0.0,0
298,1,0,1,0.0,0
299,1,0,1,0.0,0
300,1,0,1,0.0,0
301,1,0,1,0.0,0
302,1,0,1,0.0,0
303,1,0,1,0.0,0
304,1,0,1,0.0,0
305,1,0,1,0.0,0
306,1,0,1,0.0,0
307,1,0,1,0.0,0
308,1,0,1,0.0,0
309,1,0,1,0.0,0
310,1,0,1,0.0,0
311,1,0,1,0.0,0
312,1,0,1,0.0,0
313,1,0,1,0.0,0
314,1,0,1,0.0,0
315,1,0,1,0.0,0
316,1,0,1,0.0,0
317,1,0,1,0.0,0
318,1,0,1,0.0,0
319,1,0,1,0.0,0
320,1,0,1,0.0,0
321,1,0,1,0.0,0
322,1,0,1,0.0,0
323,1,0,1,1.0,1
324,1,0,1,2.0,2
325,1,0,1,3.0,3
326,1,0,1,4.0,4
327,1,0,1,5.0,5
328,1,0,1,6.0,6
329,1,0,1,7.0,7
330,1,0,1,8.0,8
331,1,0,1,9.0,9
332,1,0,1,10.0,10
333,1,0,1,11.0,11
334,1,0,1,12.0,12
335,1,0,1,13.0,13
336,1,0,1,14.0,14
337,1,0,1,15.0,15
338,1,0,1,16.0,16
339,1,0,1,17.0,17
340,1,0,1,18.0,18
