counter,red_count,blue_count,total_count,average_radiation_level,total_radiation_level
343,1,0,1,23.0,23
344,1,0,1,24.0,24
345,1,0,1,25.0,25
346,1,0,1,26.0,26
347,1,0,1,27.0,27
348,1,0,1,28.0,28
349,1,0,1,29.0,29
350,1,0,1,30.0,30
351,1,0,1,31.0,31
352,1,0,1,32.0,32
353,1,0,1,33.0,33
354,1,0,1,34.0,34
355,1,0,1,35.0,35
356,1,0,1,36.0,36
357,1,0,1,37.0,37
358,1,0,1,38.0,38
359,1,0,1,39.0,39
360,1,0,1,40.0,40
361,1,0,1,41.0,41
362,1,0,1,42.0,42
363,1,0,1,43.0,43
364,1,0,1,44.0,44
365,1,0,1,45.0,45
366,1,0,1,46.0,46
367,1,0,1,47.0,47
368,1,0,1,48.0,48
369,1,0,1,49.0,49
370,1,0,1,50.0,50
371,1,0,1,51.0,51
372,1,0,1,52.0,52
373,1,0,1,53.0,53
374,1,0,1,54.0,54
375,1,0,1,55.0,55
376,1,0,1,56.0,56
377,1,0,1,57.0,57
378,1,0,1,58.0,58
379,1,0,1,59.0,59
380,1,0,1,60.0,60
381,1,0,1,61.0,61
382,1,0,1,62.0,62
383,1,0,1,63.0,63
384,1,0,1,64.0,64
385,1,0,1,65.0,65
386,1,0,1,66.0,66
387,1,0,1,67.0,67
388,1,0,1,68.0,68
389,1,0,1,69.0,69
390,1,0,1,70.0,70
391,1,0,1,71.0,71
392,1,0,1,72.0,72
393,1,0,1,73.0,73
394,1,0,1,74.0,74
395,1,0,1,75.0,75
396,1,0,1,76.0,76
397,1,0,1,77.0,77
398,1,0,1,78.0,78
399,1,0,1,79.0,79
400,1,0,1,80.0,80
401,1,0,1,81.0,81
402,1,0,1,82.0,82
403,1,0,1,83.0,83
404,1,0,1,84.0,84
405,1,0,1,85.0,85
406,1,0,1,86.0,86
407,1,0,1,87.0,87
408,2,0,2,88.0,88
409,2,0,2,88.0,88
410,2,0,2,88.0,88
411,2,0,2,88.0,88
412,2,0,2,88.0,88
413,2,0,2,88.0,88
414,2,0,2,88.0,88
415,2,0,2,88.0,88
416,2,0,2,88.0,88
417,2,0,2,88.0,88
418,2,0,2,88.0,88
419,2,0,2,88.0,88
420,2,0,2,88.0,88
421,2,0,2,88.0,88
422,2,0,2,88.0,88
423,2,0,2,88.0,88
424,2,0,2,88.0,88
425,2,0,2,88.0,88
426,2,0,2,88.0,88
427,2,0,2,88.0,88
428,2,0,2,88.0,88
429,2,0,2,88.0,88
430,2,0,2,88.0,88
431,2,0,2,88.0,88
432,2,0,2,88.0,88
433,2,0,2,88.0,88
434,2,0,2,88.0,88
435,2,0,2,88.0,88
436,2,0,2,88.0,88
437,2,0,2,88.0,88
438,2,0,2,88.0,88
439,2,0,2,88.0,88
440,2,0,2,88.0,88
441,2,0,2,88.0,88
442,2,0,2,88.0,88
443,2,0,2,88.0,88
444,2,0,2,88.0,88
445,2,0,2,88.0,88
446,2,0,2,88.0,88
447,2,0,2,88.0,88
448,2,0,2,0.0,0
449,2,0,2,0.0,0
450,2,0,2,0.0,0
451,2,0,2,0.0,0
452,2,0,2,0.0,0
453,2,0,2,0.0,0
454,2,0,2,0.0,0
455,2,0,2,0.0,0
456,2,0,2,0.0,0
457,2,0,2,0.0,0
458,2,0,2,0.0,0
459,2,0,2,0.0,0
460,2,0,2,0.0,0
461,2,0,2,0.0,0
462,2,0,2,0.0,0
463,2,0,2,0.0,0
464,2,0,2,0.0,0
465,2,0,2,0.0,0
466,2,0,2,0.0,0
467,2,0,2,0.0,0
468,2,0,2,0.0,0
469,2,0,2,0.0,0
470,2,0,2,0.0,0
471,2,0,2,0.0,0
472,2,0,2,0.0,0
473,2,0,2,0.0,0
474,2,0,2,0.0,0
475,2,0,2,0.0,0
476,2,0,2,0.0,0
477,2,0,2,0.0,0
478,2,0,2,0.0,0
479,2,0,2,0.0,0
480,2,0,2,0.0,0
481,2,0,2,0.0,0
482,2,0,2,0.0,0
483,2,0,2,0.0,0
484,2,0,2,0.0,0
485,2,0,2,0.0,0
486,2,0,2,0.0,0
487,2,0,2,0.0,0
488,2,0,2,0.0,0
489,2,0,2,0.0,0
490,2,0,2,0.0,0
